UserAge,BrowsingTime,PastPurchases,CartAdds,Recommend
54,1.13,1,1,1
67,0.89,2,0,0
44,0.9,3,0,1
30,8.43,2,1,1
58,5.47,0,1,1
23,3.7,1,2,1
36,2.22,2,0,1
54,10.49,1,1,1
34,2.49,1,1,1
38,8.48,0,4,1
26,2.89,0,1,1
26,2.37,4,0,1
39,3.11,1,1,1
68,1.79,1,0,0
51,6.88,2,0,1
55,3.49,2,1,1
39,1.32,1,1,1
18,11.49,0,2,1
37,2.42,0,0,0
68,3.92,1,0,0
17,11.85,1,3,1
39,4.89,1,2,1
59,0.62,3,1,1
45,14.05,2,0,1
53,4.94,0,2,1
17,2.04,0,0,0
36,0.75,2,1,1
48,7.9,2,0,1
27,4.84,1,2,1
37,3.81,3,0,1
59,11.22,0,0,1
40,7.77,0,0,1
64,0.82,0,2,1
42,1.87,0,3,1
57,1.43,1,1,1
43,6.81,0,0,1
31,0.17,2,0,1
30,4.22,0,1,1
62,7.19,1,0,1
66,10.47,0,0,1
59,2.09,1,2,1
67,8.61,1,3,1
18,0.59,2,2,1
52,9.37,4,0,1
66,0.68,1,1,1
22,2.53,2,1,1
36,7.98,1,0,1
24,0.81,1,2,1
54,1.3,2,1,1
33,6.41,0,2,1
19,6.37,0,1,1
40,5.12,0,1,1
29,5.92,0,2,1
65,3.91,2,0,1
24,1.45,0,1,1
41,2.12,2,0,1
68,1.0,2,1,1
17,11.95,1,1,1
35,4.38,0,0,0
43,2.56,3,2,1
62,3.1,1,1,1
22,14.71,1,1,1
59,0.83,2,3,1
23,4.41,0,2,1
62,3.52,1,0,0
50,4.73,0,2,1
29,0.09,0,0,0
32,10.28,1,1,1
51,13.45,1,2,1
65,4.16,3,0,1
55,5.96,3,0,1
19,12.79,0,1,1
17,6.14,2,1,1
21,0.83,1,0,0
69,4.29,2,0,1
57,4.67,2,2,1
19,2.76,1,0,1
69,6.67,2,0,1
44,13.62,2,1,1
33,12.99,1,1,1
41,3.0,2,1,1
59,0.6,2,1,1
49,20.95,1,0,1
25,9.13,0,1,1
51,0.67,0,0,0
29,12.68,2,0,1
46,10.2,1,1,1
63,3.66,0,2,1
30,4.47,4,1,1
23,2.55,3,1,1
29,0.28,2,0,1
38,2.04,0,2,1
55,8.12,1,1,1
36,0.02,2,0,1
31,2.03,1,0,1
60,2.54,3,0,1
33,3.85,1,0,1
62,12.62,2,0,1
68,2.13,2,3,1
39,2.13,0,0,0
41,6.69,2,0,1
40,3.01,0,2,1
60,1.27,0,0,0
56,3.01,1,1,1
44,0.76,3,0,1
30,0.97,3,1,1
60,3.45,0,0,0
16,2.71,1,0,1
40,12.32,1,1,1
22,2.25,0,0,0
24,4.34,1,0,1
39,5.0,1,0,1
16,0.07,2,0,1
59,5.45,1,1,1
23,0.98,0,0,0
39,16.23,1,1,1
26,0.8,5,2,1
66,2.68,3,1,1
32,0.45,1,3,1
23,28.84,2,0,1
50,3.49,1,3,1
50,4.52,1,1,1
48,0.35,2,0,1
20,6.93,1,0,1
57,1.18,3,0,1
54,11.42,2,1,1
56,1.15,1,1,1
43,1.06,1,0,0
22,0.19,2,0,1
24,3.19,0,0,0
23,4.16,0,0,0
27,0.34,1,0,0
49,7.47,1,1,1
48,3.02,0,0,0
63,3.72,1,0,0
38,2.91,4,2,1
39,2.56,0,0,0
52,4.1,0,0,0
50,0.84,0,1,0
59,1.0,1,0,0
55,9.89,3,0,1
37,14.6,0,0,1
42,2.34,2,0,1
50,1.58,0,1,0
16,5.16,4,1,1
50,2.63,1,0,0
52,0.13,1,1,1
62,0.85,3,1,1
29,6.29,2,0,1
18,5.38,1,1,1
